label,x1,y1,height,width,source,file_name,analyzed_labels,taxonomy_label,target
railway grinding machine,0.0,0.0,720.0,720.0,user,0_1711591656377_railway grinding machine.png,"['railway', 'grinding', 'machine']",materials,4
rail grinder,0.0,0.0,720.0,720.0,user,1_1711591656377_rail grinder.png,"['rail', 'grinder']",materials,4
rail grinder with worker,0.0,0.0,720.0,720.0,user,2_1711591656377_rail grinder with worker.png,"['rail', 'grinder', 'with', 'worker']",materials,4
railway grinding machine with worker,0.0,0.0,720.0,720.0,user,3_1711591656377_railway grinding machine with worker.png,"['railway', 'grinding', 'machine', 'with', 'worker']",materials,4
worker,0.0,0.0,720.0,720.0,user,4_1711591656377_worker.png,['worker'],maintenance,3
railgrinder of the united state,0.0,0.0,720.0,720.0,wikimedia,5_1711591656377_railgrinder of the united state.png,"['railgrinder', 'of', 'the', 'united', 'state']",tools,10
ceramic mold,271.0,102.0,596.0,533.0,user,6_1711566520908_ceramic mold.png,"['ceramic', 'mold']",materials,4
casting mound,0.0,0.0,3456.0,4320.0,wikimedia,7_1711566520908_casting mound.png,"['casting', 'mound']",processes,6
feeler gage,0.0,0.0,595.0,891.0,user,8_1711588402913_feeler gage.png,"['feeler', 'gage']",quality,7
feeler gauge,0.0,0.0,595.0,891.0,user,9_1711588402913_feeler gauge.png,"['feeler', 'gauge']",quality,7
feeler gauge,0.0,0.0,1196.0,1791.0,wikimedia,10_1711588402913_feeler gauge.png,"['feeler', 'gauge']",quality,7
milling machine,0.0,0.0,680.0,907.0,user,11_1711575041062_milling machine.png,"['milling', 'machine']",processes,6
computer numerical control,0.0,0.0,1224.0,1632.0,wikimedia,12_1711575041062_computer numerical control.png,"['computer', 'numerical', 'control']",maintenance,3
printing pres,0.0,0.0,616.0,907.0,user,13_1711617878224_printing pres.png,"['printing', 'pres']",processes,6
marinoni rotary pres cam,0.0,0.0,1452.0,2139.0,wikimedia,14_1711617878224_marinoni rotary pres cam.png,"['marinoni', 'rotary', 'pres', 'cam']",machines,2
hand drill,0.0,0.0,2527.0,681.0,user,15_1711585624724_hand drill.png,"['hand', 'drill']",machines,2
wood drill,0.0,0.0,2527.0,681.0,wikimedia,16_1711585624724_wood drill.png,"['wood', 'drill']",materials,4
desk,746.0,1222.0,0.0,0.0,user,17_1711571869821_desk.png,['desk'],maintenance,3
work desk,746.0,1222.0,0.0,0.0,user,18_1711571869821_work desk.png,"['work', 'desk']",maintenance,3
table,746.0,1222.0,0.0,0.0,user,19_1711571869821_table.png,['table'],quality,7
work station,746.0,1222.0,0.0,0.0,user,20_1711571869821_work station.png,"['work', 'station']",maintenance,3
bottle,132.0,1200.0,137.0,104.0,user,21_1711571869821_bottle.png,['bottle'],quality,7
bottle,417.0,804.0,117.0,60.0,user,22_1711571869821_bottle.png,['bottle'],quality,7
paint bottle,417.0,804.0,117.0,60.0,user,23_1711571869821_paint bottle.png,"['paint', 'bottle']",materials,4
ear muff,31.0,416.0,127.0,171.0,user,24_1711571869821_ear muff.png,"['ear', 'muff']",electrical,0
hearing protector,31.0,416.0,127.0,171.0,user,25_1711571869821_hearing protector.png,"['hearing', 'protector']",safety,8
light,1.0,96.0,465.0,595.0,user,26_1711571869821_light.png,['light'],quality,7
lamp,1.0,96.0,465.0,595.0,user,27_1711571869821_lamp.png,['lamp'],electrical,0
desk lamp,1.0,96.0,465.0,595.0,user,28_1711571869821_desk lamp.png,"['desk', 'lamp']",maintenance,3
filament,115.0,794.0,216.0,123.0,user,29_1711571869821_filament.png,['filament'],electrical,0
wire,115.0,794.0,216.0,123.0,user,30_1711571869821_wire.png,['wire'],electrical,0
wiring,115.0,794.0,216.0,123.0,user,31_1711571869821_wiring.png,['wiring'],processes,6
brick,578.0,469.0,50.0,131.0,user,32_1711571869821_brick.png,['brick'],materials,4
jeweller bench,0.0,0.0,6000.0,3959.0,wikimedia,33_1711571869821_jeweller bench.png,"['jeweller', 'bench']",maintenance,3
welding mask,482.0,88.0,63.0,124.0,user,34_1711568957895_welding mask.png,"['welding', 'mask']",processes,6
welding apron,225.0,214.0,131.0,69.0,user,35_1711568957895_welding apron.png,"['welding', 'apron']",processes,6
welding apron,175.0,208.0,133.0,66.0,user,36_1711568957895_welding apron.png,"['welding', 'apron']",processes,6
welding mask,201.0,156.0,50.0,62.0,user,37_1711568957895_welding mask.png,"['welding', 'mask']",processes,6
welding wire,428.0,202.0,75.0,61.0,user,38_1711568957895_welding wire.png,"['welding', 'wire']",processes,6
welding curtain,46.0,66.0,390.0,82.0,user,39_1711568957895_welding curtain.png,"['welding', 'curtain']",processes,6
welder,0.0,0.0,540.0,720.0,wikimedia,40_1711568957895_welder.png,['welder'],maintenance,3
wood chipper,112.0,7.0,286.0,355.0,user,41_1711600784010_wood chipper.png,"['wood', 'chipper']",materials,4
traffic cone,277.0,156.0,117.0,50.0,user,42_1711600784010_traffic cone.png,"['traffic', 'cone']",safety,8
woodchopper,0.0,0.0,1952.0,2940.0,wikimedia,43_1711600784010_woodchopper.png,['woodchopper'],materials,4
